,Learning_rate,Training_accuracy,Testing_accuracy,Activation,pool
440,0.014285714285714284,97.5344,98.64,"['relu', 'relu', 'relu', 'leaky_relu', 'celu']","('max', 'max')"
900,0.011111111111111113,97.6932,98.64,"['relu', 'relu', 'relu', 'rrelu', 'rrelu']","('max', 'max')"
925,0.011111111111111113,97.4956,98.64,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('max', 'max')"
21,0.018181818181818184,97.682,98.65,"['relu', 'relu', 'relu', 'relu', 'celu']","('max', 'avg')"
880,0.011111111111111113,97.0186,98.65,"['relu', 'relu', 'relu', 'relu', 'rrelu']","('max', 'avg')"
537,0.013333333333333334,97.0034,98.66,"['relu', 'relu', 'relu', 'rrelu', 'rrelu']","('avg', 'avg')"
697,0.0125,97.8354,98.67,"['relu', 'relu', 'relu', 'celu', 'celu']","('avg', 'avg')"
818,0.011764705882352941,97.6368,98.67,"['relu', 'relu', 'relu', 'celu', 'celu']","('max', 'avg')"
1046,0.010526315789473684,97.7128,98.67,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('max', 'max')"
638,0.0125,97.4706,98.68,"['relu', 'relu', 'relu', 'relu', 'rrelu']","('avg', 'avg')"
917,0.011111111111111113,97.3764,98.69,"['relu', 'relu', 'relu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
766,0.011764705882352941,96.9916,98.7,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
433,0.014285714285714284,97.4116,98.7,"['relu', 'relu', 'relu', 'leaky_relu', 'leaky_relu']","('max', 'avg')"
425,0.014285714285714284,97.8564,98.7,"['relu', 'relu', 'leaky_relu', 'celu', 'celu']","('avg', 'avg')"
626,0.0125,97.5842,98.7,"['relu', 'relu', 'relu', 'relu', 'celu']","('max', 'avg')"
855,0.011111111111111113,98.0014,98.7,"['relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('max', 'max')"
887,0.011111111111111113,97.8834,98.71,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('max', 'max')"
811,0.011764705882352941,97.7732,98.72,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'max')"
396,0.014285714285714284,97.5182,98.73,"['relu', 'relu', 'relu', 'relu', 'rrelu']","('avg', 'avg')"
